call,feed,cat,cat2,key,feedurl,,origurl
wire.huffpo,TED Weekends,Lifestyle,Business,"HuffPo, Lifestyle, Business, TEDWeekends, Innovcation, TED",get_huffpo_tedweekends.php,,http://www.huffingtonpost.com/feeds/verticals/tedweekends/index.xml
wire.nydaily,World News,World News,NULL,"NYDaily, World News, World",get_dailynews_world.php,,http://www.nydailynews.com/news/world/index_rss.xml
wire.nydaily,The Nets,Sports,Local News,"NYDaily, Local News, Sports, Basketball, Nets",get_dailynews_nets.php,,http://www.nydailynews.com/sports/basketball/nets/index_rss.xml
wire.nydaily,College Sports,Sports,NULL,"NYDaily, Sports, College Sports",get_dailynews_collegesports.php,,http://www.nydailynews.com/sports/college/index_rss.xml
wire.nydaily,The Giants,Sports,Local News,"NYDaily, Local News, Sports, Football, Giants",get_dailynews_giants.php,,http://www.nydailynews.com/sports/football/giants/index_rss.xml
wire.nydaily,Football,Sports,NULL,"NYDaily, Sports, Football",get_dailynews_football.php,,http://www.nydailynews.com/sports/football/index_rss.xml
wire.nydaily,The Jets,Sports,Local News,"NYDaily, Local News, Sports, Football, Jets",get_dailynews_jets.php,,http://www.nydailynews.com/sports/football/jets/index_rss.xml
wire.nydaily,High School Sports,Sports,NULL,"NYDaily, Sports, High-School Sports",get_dailynews_hssports.php,,http://www.nydailynews.com/sports/high_school/index_rss.xml
wire.nydaily,Hockey,Sports,NULL,"NYDaily, Sports, Hockey",get_dailynews_hockey.php,,http://www.nydailynews.com/sports/hockey/index_rss.xml
wire.nydaily,The Rangers,Sports,Local News,"NYDaily, Local News, Sports, Hockey, Rangers",get_dailynews_rangers.php,,http://www.nydailynews.com/sports/hockey/rangers/index_rss.xml
wire.nydaily,Sports,Sports,NULL,"NYDaily, Sports",get_dailynews_sports.php,,http://www.nydailynews.com/sports/index_rss.xml
wire.nydaily,Sports,Sports,NULL,"NYDaily, Sports, More-Sports",get_dailynews_moresports.php,,http://www.nydailynews.com/sports/more_sports/index_rss.xml
wire.reuters,Arts & Culture,ArtsCulture,NULL,"Reuters, artsculture, Arts & Culture",get_reuters_artsCulture.php,,http://feeds.reuters.com/news/artsculture
wire.nydaily,Music & Art,ArtsCulture,Entertainment,"NYDaily, Entertainment, Arts & Culture, Music-Arts, Music, Arts",get_dailynews_music-arts.php,,http://www.nydailynews.com/entertainment/music-arts/index_rss.xml
